system:index,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEO_NAME,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,STATEFP,TRACTCE,Year,sq_miles,.geo
00000000000000000af3,4.45442848E8,1307207.0,1,107,S,271079601001,271079601001,+47.4274284,-096.2496445,G5030,Block Group 1,27,960100,2021,"{groups=[{classification=0, sum=25.06271624996899}, {classification=1, sum=7.090185960000815}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000af4,3.47313776E8,1798660.0,1,107,S,271079603001,271079603001,+47.2351298,-096.5487350,G5030,Block Group 1,27,960300,2021,"{groups=[{classification=0, sum=8.313698250000815}, {classification=1, sum=2.8337809499995137}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000af6,6.72293376E8,1518360.0,1,107,S,271079602001,271079602001,+47.4046119,-096.6445859,G5030,Block Group 1,27,960200,2021,"{groups=[{classification=0, sum=14.863537259989661}, {classification=1, sum=4.13408852999883}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b31,8.14599029E8,3946710.0,1,069,S,270690901001,270690901001,+48.8643696,-096.6042422,G5030,Block Group 1,27,090100,2021,"{groups=[{classification=0, sum=185.9068025087661}, {classification=1, sum=32.85552698995634}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b36,8.45968238E8,4044269.0,1,069,S,270690902001,270690902001,+48.8581871,-097.0302227,G5030,Block Group 1,27,090200,2021,"{groups=[{classification=0, sum=35.64031184996068}, {classification=1, sum=8.193119220000566}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b9f,1.86931601E8,657039.0,1,033,S,270332702001,270332702001,+44.1159210,-095.3920676,G5030,Block Group 1,27,270200,2021,"{groups=[{classification=0, sum=4.3512697799990185}, {classification=1, sum=2.9050163999994694}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba6,2.92238949E8,1617136.0,1,033,S,270332701001,270332701001,+44.0296688,-095.0078089,G5030,Block Group 1,27,270100,2021,"{groups=[{classification=0, sum=6.771537630000606}, {classification=1, sum=2.667680729999617}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba7,3.96519217E8,1.0707867E7,1,033,S,270332703001,270332703001,+43.9270985,-095.3288382,G5030,Block Group 1,27,270300,2021,"{groups=[{classification=0, sum=13.864503509990268}, {classification=1, sum=5.716905479999914}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba9,1.80908322E8,4269078.0,1,033,S,270332704001,270332704001,+43.8976894,-094.9703252,G5030,Block Group 1,27,270400,2021,"{groups=[{classification=0, sum=5.260303619999615}, {classification=1, sum=2.063395619999993}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bb6,6.53273496E8,2296908.0,1,151,S,271519603001,271519603001,+45.2749087,-095.7168717,G5030,Block Group 1,27,960300,2021,"{groups=[{classification=0, sum=25.448082659968257}, {classification=1, sum=8.271651960000895}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bba,7881284.0,1245.0,1,117,S,271174602001,271174602001,+43.9855886,-096.3011018,G5030,Block Group 1,27,460200,2021,"{groups=[{classification=0, sum=1.0202306400000158}, {classification=1, sum=0.23386077000000274}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bbb,9674894.0,432566.0,1,127,S,271277503001,271277503001,+44.5358442,-095.1537157,G5030,Block Group 1,27,750300,2021,"{groups=[{classification=0, sum=0.550771650000008}, {classification=1, sum=0.8172964800000125}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bc2,2.26995262E8,3132540.0,1,043,S,270434601001,270434601001,+43.7676613,-093.7788558,G5030,Block Group 1,27,460100,2021,"{groups=[{classification=0, sum=4.723779059999263}, {classification=1, sum=1.4872572000000237}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bc3,7.5072483E7,78582.0,1,043,S,270434606001,270434606001,+43.7092467,-093.6974194,G5030,Block Group 1,27,460600,2021,"{groups=[{classification=0, sum=1.7565619500000282}, {classification=1, sum=0.47884122000000684}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bfe,2.49945021E8,8780561.0,1,063,S,270634803001,270634803001,+43.5660116,-095.1852916,G5030,Block Group 1,27,480300,2021,"{groups=[{classification=0, sum=10.03690115999754}, {classification=1, sum=3.651077429999005}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c45,7.11350435E8,6096313.0,1,155,S,271554601001,271554601001,+45.8806722,-096.4229596,G5030,Block Group 1,27,460100,2021,"{groups=[{classification=0, sum=26.69418179996589}, {classification=1, sum=4.944087719999407}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
