system:index,GEOID,Year,sq_miles,.geo
00000000000000000051,270030502343,2021,"{groups=[{classification=0, sum=0.7933196700000121}, {classification=1, sum=1.26868599000002}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,270030502333,2021,"{groups=[{classification=0, sum=0.34783749000000463}, {classification=1, sum=0.3593046600000048}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,270530216011,2021,"{groups=[{classification=0, sum=0.1355211000000011}, {classification=1, sum=0.17478747000000175}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,270530216012,2021,"{groups=[{classification=0, sum=0.4242852900000059}, {classification=1, sum=0.1414284300000012}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,270530216013,2021,"{groups=[{classification=0, sum=0.14942070000000132}, {classification=1, sum=0.1362160800000011}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,270530216021,2021,"{groups=[{classification=0, sum=0.36660195000000495}, {classification=1, sum=0.17478747000000175}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,270530215042,2021,"{groups=[{classification=0, sum=0.09729720000000046}, {classification=1, sum=0.0757528200000001}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,270530215043,2021,"{groups=[{classification=0, sum=0.09660222000000045}, {classification=1, sum=0.09660222000000045}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,270530215044,2021,"{groups=[{classification=0, sum=0.1605403800000015}, {classification=1, sum=0.20467161000000225}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,270530215051,2021,"{groups=[{classification=0, sum=0.21787623000000247}, {classification=1, sum=0.14559831000000126}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,270530215052,2021,"{groups=[{classification=0, sum=0.11814660000000081}, {classification=1, sum=0.09625473000000044}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,270530215053,2021,"{groups=[{classification=0, sum=0.08721999000000029}, {classification=1, sum=0.06810803999999997}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
