system:index,CTU_NAME,Year,sq_miles,.geo
000000000000000000a8,Northfield,2021,"{groups=[{classification=0, sum=0.2689572600000033}, {classification=1, sum=0.22969089000000267}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,Hancock Twp.,2021,"{groups=[{classification=0, sum=1.151234370000018}, {classification=1, sum=0.7088796000000107}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,Newport,2021,"{groups=[{classification=0, sum=1.5744771900000252}, {classification=1, sum=1.7099982900000275}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,Bethel,2021,"{groups=[{classification=0, sum=0.34297263000000455}, {classification=1, sum=0.3947486400000054}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,Blakeley Twp.,2021,"{groups=[{classification=0, sum=3.786598529998921}, {classification=1, sum=6.522039810000442}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,Circle Pines,2021,"{groups=[{classification=0, sum=0.7964470800000122}, {classification=1, sum=0.9260608500000144}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,Corcoran,2021,"{groups=[{classification=0, sum=6.217638570000243}, {classification=1, sum=4.845400559999343}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,Tonka Bay,2021,"{groups=[{classification=0, sum=0.33671781000000445}, {classification=1, sum=0.4718914200000067}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,St. Francis,2021,"{groups=[{classification=0, sum=5.6442800699998665}, {classification=1, sum=8.980184069999549}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,Spring Park,2021,{groups=[]},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,Stillwater,2021,"{groups=[{classification=0, sum=3.4703826299991176}, {classification=1, sum=3.720227939998962}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,Excelsior,2021,"{groups=[{classification=0, sum=0.34957494000000466}, {classification=1, sum=0.2790344700000035}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,Victoria,2021,"{groups=[{classification=0, sum=3.7469846699989455}, {classification=1, sum=3.063124349999371}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,Pine Springs,2021,"{groups=[{classification=0, sum=0.2248260300000026}, {classification=1, sum=0.4121231400000057}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,Lino Lakes,2021,"{groups=[{classification=0, sum=10.30029857999704}, {classification=1, sum=10.001804669997608}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,Marine on St. Croix,2021,"{groups=[{classification=0, sum=0.6279144300000093}, {classification=1, sum=2.135673539999948}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,Spring Lake Twp.,2021,"{groups=[{classification=0, sum=4.225825889998936}, {classification=1, sum=5.353430939999676}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,Bayport,2021,"{groups=[{classification=0, sum=0.7988795100000122}, {classification=1, sum=0.6609259800000099}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,Columbia Heights,2021,"{groups=[{classification=0, sum=2.2649398199998676}, {classification=1, sum=1.148801940000018}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,Elko New Market,2021,"{groups=[{classification=0, sum=1.1387247300000178}, {classification=1, sum=0.9736669800000152}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,Ham Lake,2021,"{groups=[{classification=0, sum=8.625396780000223}, {classification=1, sum=15.516818459987128}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,New Germany,2021,"{groups=[{classification=0, sum=0.21579129000000244}, {classification=1, sum=0.0882624600000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
